,lat,long,max_temp,humidity,wind_speed,clouds,country,dt,is_south
los llanos de aridane,28.6585,-17.9182,69.55,72,2.22450818,75,Spain,1635185005,0
weligama,5.9667,80.4167,76.66,92,2.0815928500000003,100,Sri Lanka,1635185005,0
camacha,33.0833,-16.3333,67.42,73,4.4738712000000005,75,Portugal,1635185005,0
saint-leu,-21.15,55.2833,74.26,93,0.73943149,24,Réunion,1635185006,1
oktyabrskoye,43.0645,44.7417,35.74,100,1.8641130000000001,100,Russian Federation,1635185006,0
westport,41.1415,-73.3579,75.09,84,0.55302019,1,United States of America,1635185006,0
broome,42.2506,-75.833,73.71,59,0.55302019,1,United States of America,1635185007,0
razole,16.4833,81.8333,74.44,84,0.77671375,34,India,1635185007,0
juneau,58.3019,-134.4197,42.84,87,1.2738105499999999,99,United States of America,1635184930,0
moose factory,51.2585,-80.6094,40.98,100,1.59692347,90,Canada,1635185007,0
ossora,59.2353,163.0719,27.07,82,2.6718953,100,Russian Federation,1635185007,0
arraial do cabo,-22.9661,-42.0278,71.46,73,2.2369356000000002,75,Brazil,1635185008,1
korem,12.5058,39.5228,57.42,54,0.8699194,34,Ethiopia,1635185008,0
itaquyry,-24.9333,-55.2167,86.22,36,1.01904844,0,Paraguay,1635185008,1
coria,39.9879,-6.5377,66.45,41,0.53437906,72,Spain,1635185009,0
haapiti,-17.5667,-149.8667,78.53,72,0.09320565,95,French Polynesia,1635185009,1
northam,51.0333,-4.2167,55.02,86,3.17520581,42,United Kingdom of Great Britain and Northern Ireland,1635185009,0
krutikha,53.9599,81.2093,43.79,60,1.36080249,97,Russian Federation,1635185009,0
tasiilaq,65.6145,-37.6368,33.96,82,5.865742239999999,100,Greenland,1635185010,0
margate,51.3813,1.3862,55.96,88,1.39187104,24,United Kingdom of Great Britain and Northern Ireland,1635184853,0
sechelt,49.4664,-123.7694,53.64,87,4.02648408,100,Canada,1635185010,0
ardakan,32.31,54.0175,62.98,20,0.26097581999999997,0,"Iran, Islamic Republic of",1635185010,0
fortuna,40.5982,-124.1573,57.97,68,0.27961695000000003,40,United States of America,1635185011,0
poum,-20.2333,164.0167,74.07,72,4.36202442,9,New Caledonia,1635185011,1
mto wa mbu,-3.35,35.85,80.69,39,2.26800415,91,"Tanzania, United Republic of",1635185011,1
visnes,59.3556,5.2242,53.58,82,5.43699625,75,Norway,1635185012,0
waipawa,-41.4122,175.5153,57.04,88,1.64663315,25,New Zealand,1635185012,1
togur,58.3631,82.8265,35.91,76,1.69634283,99,Russian Federation,1635185012,0
stephenville,32.2207,-98.2023,84.67,61,0.0,1,United States of America,1635185012,0
port-gentil,-0.7193,8.7815,77.27,91,3.98920182,100,Gabon,1635185013,1
bontang,0.1333,117.5,77.0,87,0.98176618,44,Indonesia,1635184811,0
jiazi,22.8779,116.067,71.76,73,4.77212928,80,China,1635185013,0
hit,33.6416,42.8251,73.76,26,1.9013952600000001,0,Iraq,1635185013,0
havre,49.5833,0.3333,56.97,82,3.51695986,90,France,1635185014,0
fairbanks,64.8378,-147.7164,28.36,91,0.0,90,United States of America,1635185014,0
port lincoln,-34.7333,135.8667,57.74,79,3.6039518,9,Australia,1635184821,1
kouango,4.9934,19.9619,77.04,84,0.6648669700000001,39,Central African Republic,1635185014,0
port blair,11.6667,92.75,80.1,84,1.99460091,34,India,1635185015,0
sao joao da barra,-21.6403,-41.0511,75.29,77,3.3554034,83,Brazil,1635185015,1
eureka,40.8021,-124.1637,58.24,88,2.22450818,37,United States of America,1635184913,0
hailey,43.5196,-114.3153,42.66,100,3.19384694,90,United States of America,1635185015,0
sabang,5.8933,95.3214,81.41,77,1.74605251,89,Indonesia,1635185016,0
caxito,-8.5785,13.6643,78.84,72,1.6777017,100,Angola,1635185016,1
broken hill,-31.95,141.4333,53.89,30,2.28043157,0,Australia,1635184856,1
muyezerskiy,63.9333,31.65,34.25,100,1.06875812,100,Russian Federation,1635185016,0
tautira,-17.7333,-149.15,78.82,79,0.86370569,88,French Polynesia,1635185017,1
rorvik,64.8621,11.2373,46.51,100,1.92003639,75,Norway,1635185017,0
salumbar,24.1333,74.05,77.16,56,1.16817748,88,India,1635185017,0
brae,60.3964,-1.353,49.91,84,4.01405666,79,United Kingdom of Great Britain and Northern Ireland,1635185017,0
longview,32.5007,-94.7405,86.25,42,0.27961695000000003,20,United States of America,1635184896,0
foso,5.7012,-1.2866,76.44,94,1.21788716,72,Ghana,1635185018,0
flinders,-34.5833,150.8552,56.48,81,1.48507669,24,Australia,1635184748,1
villa altagracia,18.673,-70.171,87.35,53,1.41051217,29,Dominican Republic,1635185018,0
along,28.1667,94.7667,63.37,97,0.5778750300000001,64,India,1635184887,0
ampanihy,-24.7,44.75,74.88,81,2.13751624,1,Madagascar,1635185018,1
beringovskiy,63.05,179.3167,10.72,77,1.60313718,100,Russian Federation,1635185019,0
dzhebariki-khaya,62.2167,135.8,24.42,98,0.75807262,99,Russian Federation,1635185019,0
muros,42.7762,-9.0603,62.24,87,2.2990727,17,Spain,1635184879,0
ufa,54.775,56.0375,33.17,77,4.3309558699999995,99,Russian Federation,1635184819,0
motygino,58.1831,94.7592,43.66,71,4.81562525,100,Russian Federation,1635185019,0
tiznit,29.5833,-9.5,67.32,60,1.7398388,0,Morocco,1635185020,0
aras,42.5617,-2.356,57.72,74,1.28002426,40,Spain,1635185020,0
takaungu,-3.6837,39.8566,78.01,84,2.19343963,88,Kenya,1635185020,1
lingyuan,41.24,119.4011,49.46,76,1.51614524,99,China,1635185020,0
salinopolis,-0.6136,-47.3561,84.13,74,3.75929455,96,Brazil,1635185021,1
saint-augustin,51.226,-58.6502,45.23,47,2.87073402,61,Canada,1635185021,0
mount gambier,-37.8333,140.7667,38.16,93,1.70877025,21,Australia,1635184827,1
paracuru,-3.41,-39.0306,86.02,58,4.44901636,55,Brazil,1635185021,1
goma,-1.6792,29.2228,64.15,86,0.8264234300000001,99,"Congo, Democratic Republic of the",1635184815,1
hosdurga,13.7981,76.2861,71.53,77,1.16817748,44,India,1635185022,0
wamba,8.9333,8.6,79.84,72,0.91341537,26,Nigeria,1635185022,0
baghdad,33.3406,44.4009,73.31,27,0.95691134,0,Iraq,1635184773,0
husavik,66.0449,-17.3389,31.26,81,2.43577432,39,Iceland,1635185023,0
ciudad bolivar,8.1222,-63.5497,87.69,60,3.28083888,71,"Venezuela, Bolivarian Republic of",1635184728,0
dhanaula,30.2833,75.5833,68.29,62,1.68391541,0,India,1635185023,0
hirado,33.3597,129.5531,61.36,59,4.04512521,0,Japan,1635185023,0
praia da vitoria,38.7333,-27.0667,69.76,79,2.33014125,75,Portugal,1635185023,0
nome,64.5011,-165.4064,24.87,80,3.19384694,40,United States of America,1635185019,0
tooele,40.5308,-112.2983,66.97,42,13.42782731,1,United States of America,1635184766,0
harper,4.375,-7.7169,78.82,78,2.65325417,91,Liberia,1635185024,0
linxia,35.6003,103.2064,37.78,95,1.12468151,100,China,1635185024,0
erice,38.037,12.5865,59.99,86,2.59111707,55,Italy,1635185024,0
touros,-5.1989,-35.4608,84.31,57,4.90261719,5,Brazil,1635184826,1
plettenberg bay,-34.0527,23.3716,60.04,90,2.90180257,5,South Africa,1635184832,1
ostersund,63.1792,14.6357,43.25,87,1.92003639,84,Sweden,1635185025,0
puerto escondido,15.85,-97.0667,88.63,58,1.92003639,20,Mexico,1635185025,0
marsa matruh,31.3525,27.2453,70.97,73,3.77793568,15,Egypt,1635185026,0
fort collins,40.5853,-105.0844,75.81,43,0.95691134,1,United States of America,1635184979,0
kang,-23.6752,22.7876,81.43,9,2.06916543,37,Botswana,1635185026,1
hayrabolu,41.2131,27.1069,51.26,66,2.9950082200000003,7,Turkey,1635185026,0
chegdomyn,51.1167,133.0167,27.88,94,0.77671375,0,Russian Federation,1635185027,0
aitape,-3.1374,142.3475,76.96,89,0.77671375,86,Papua New Guinea,1635185027,1
svetlaya,46.5389,138.3297,44.42,63,1.60935089,0,Russian Federation,1635185027,0
marawi,7.9986,124.2928,68.65,91,0.47224196,95,Philippines,1635185028,0
simpang,-1.2667,104.0833,74.79,95,0.3728226,60,Indonesia,1635185028,1
fasa,28.9383,53.6482,61.56,22,0.38525002,0,"Iran, Islamic Republic of",1635185028,0
ingleside,27.8778,-97.2117,89.83,79,0.27961695000000003,75,United States of America,1635184855,0
pevek,69.7008,170.3133,-2.18,98,1.10604038,100,Russian Federation,1635185029,0
ronneby,56.21,15.276,46.9,100,0.95691134,20,Sweden,1635185029,0
mfou,3.7159,11.6427,69.98,97,0.47224196,88,Cameroon,1635185029,0
codrington,-38.2667,141.9667,38.73,92,2.13130253,2,Australia,1635185030,1
kavaratti,10.5669,72.642,82.54,75,4.33716958,43,India,1635185030,0
buraydah,26.326,43.975,76.8,23,3.62880664,0,Saudi Arabia,1635185030,0
wawa,9.9022,4.4192,83.71,48,0.90720166,24,Nigeria,1635185030,0
tazovskiy,67.4667,78.7,17.38,92,3.36161711,91,Russian Federation,1635185031,0
jerusalem,31.769,35.2163,63.12,87,0.55302019,0,Israel,1635185012,0
soyo,-6.1349,12.3689,77.32,82,2.7340324000000003,100,Angola,1635184843,1
nanning,22.8167,108.3167,64.45,69,0.7518589099999999,2,China,1635185031,0
badou,7.5833,0.6,77.2,85,0.49088309,51,Togo,1635185031,0
mishan,45.55,131.8833,41.79,57,1.0998266700000001,5,China,1635185032,0
geraldton,-28.7667,114.6,54.01,94,2.2369356000000002,75,Australia,1635185032,1
bubaque,11.2833,-15.8333,83.28,73,1.7522662199999999,100,Guinea-Bissau,1635184842,0
quang ngai,15.1167,108.8,73.78,92,1.74605251,100,Viet Nam,1635185032,0
dukat,62.55,155.55,7.32,96,0.90720166,100,Russian Federation,1635185033,0
kholtoson,50.2981,103.3097,30.38,64,1.23031458,52,Russian Federation,1635185033,0
iquique,-20.2208,-70.1431,64.56,65,1.19924603,4,Chile,1635184864,1
sistranda,63.7256,8.834,52.9,83,2.8583065999999997,99,Norway,1635184848,0
alofi,-19.0595,-169.9187,69.69,88,0.95691134,40,Niue,1635185033,1
norman wells,65.282,-126.8329,23.04,93,0.95691134,75,Canada,1635184752,0
krasnopavlivka,49.1372,36.3272,36.14,50,1.1184678000000001,15,Ukraine,1635185034,0
adre,13.4667,22.2,84.43,22,2.24936302,28,Chad,1635185034,0
mogadishu,2.0371,45.3438,79.56,79,3.12549613,67,Somalia,1635185034,0
boffa,10.1667,-14.0333,82.51,89,0.88234682,100,Guinea,1635185035,0
marck,50.949,1.9433,54.99,86,4.5484357200000005,39,France,1635185035,0
fenoarivo atsinanana,-17.3667,49.4167,75.49,83,1.6155646000000001,67,Madagascar,1635185035,1
bosaso,11.2842,49.1816,81.27,64,1.37322991,85,Somalia,1635185036,0
benguela,-12.5763,13.4055,74.57,74,1.98217349,77,Angola,1635184832,1
mackenzie,55.2999,-123.1698,40.08,94,0.45360083,100,Canada,1635185036,0
leh,34.1667,77.5833,29.89,65,0.28583066,85,India,1635185036,0
bo rai,12.5728,102.5371,74.19,92,1.5347863700000002,88,Thailand,1635185037,0
jyvaskyla,62.2415,25.7209,44.94,94,2.2369356000000002,90,Finland,1635185037,0
doha,25.2867,51.5333,84.09,62,2.2369356000000002,0,Qatar,1635184978,0
sisimiut,66.9395,-53.6735,18.63,72,3.1503509700000003,4,Greenland,1635185037,0
mumford,5.2618,-0.759,79.81,85,4.11968973,55,Ghana,1635185037,0
sunam,30.1333,75.8,68.54,61,1.7025565400000002,0,India,1635185038,0
zeya,53.75,127.2667,35.11,90,0.56544761,99,Russian Federation,1635185038,0
banff,51.1762,-115.5698,46.9,70,2.59111707,82,Canada,1635185038,0
esperance,-33.8667,121.9,54.32,82,3.06335903,99,Australia,1635185039,1
tibati,6.4667,12.6333,69.85,91,1.2738105499999999,46,Cameroon,1635185039,0
la peca,-5.6111,-78.435,85.5,53,1.21788716,73,Peru,1635185039,1
fulda,50.5516,9.6752,49.95,79,0.27961695000000003,99,Germany,1635185039,0
tomatlan,19.9333,-105.25,88.92,56,0.24233469000000002,95,Mexico,1635185040,0
hohhot,40.8106,111.6522,44.13,37,1.5347863700000002,63,China,1635185040,0
shingu,33.7333,135.9833,57.38,87,1.29245168,78,Japan,1635185040,0
lavrentiya,65.5833,-171,17.46,80,2.78995579,100,Russian Federation,1635185041,0
longyearbyen,78.2186,15.6401,21.04,58,5.75389546,40,Svalbard and Jan Mayen,1635185041,0
santa cruz cabralia,-16.2781,-39.0247,79.03,89,2.87694773,75,Brazil,1635185042,1
kamariotissa,40.4833,25.4667,55.45,63,8.18345607,3,Greece,1635185043,0
taranagar,28.6709,75.0351,73.06,54,1.83925816,0,India,1635185043,0
mahebourg,-20.4081,57.7,74.25,72,4.64164137,14,Mauritius,1635185043,1
betera,39.5833,-0.45,66.24,75,0.8326371400000001,40,Spain,1635185044,0
esil,51.9556,66.4042,50.22,45,3.98298811,100,Kazakhstan,1635185044,0
belyy yar,53.6039,91.3903,48.09,61,3.106855,0,Russian Federation,1635185044,0
mmabatho,-25.85,25.6333,65.1,75,5.33757689,57,South Africa,1635185045,1
abu samrah,35.3029,37.1841,68.49,42,1.60313718,49,Syrian Arab Republic,1635184889,0
gombong,-7.6072,109.5142,79.83,80,0.61515729,98,Indonesia,1635185045,1
sitka,57.0531,-135.33,44.2,67,0.9506976300000001,67,United States of America,1635184762,0
inverness,57.4791,-4.224,45.99,85,0.8326371400000001,20,United Kingdom of Great Britain and Northern Ireland,1635184757,0
livingston,55.9029,-3.5226,46.58,87,3.19384694,20,United Kingdom of Great Britain and Northern Ireland,1635185045,0
aldama,22.9167,-98.0667,87.82,63,1.50993153,100,Mexico,1635185046,0
half moon bay,37.4636,-122.4286,62.47,79,2.2369356000000002,1,United States of America,1635184821,0
leshukonskoye,64.8989,45.7622,17.96,98,0.34796776,91,Russian Federation,1635185046,0
sao joao evangelista,-18.5478,-42.7633,78.1,70,2.31771383,97,Brazil,1635185046,1
fortuna foothills,32.6578,-114.4119,81.7,49,1.9448912299999999,1,United States of America,1635185047,0
iracoubo,5.4802,-53.2011,81.77,77,3.03850419,56,French Guiana,1635185047,0
naze,28.3667,129.4833,66.79,66,3.49831873,30,Japan,1635185047,0
pathein,16.7833,94.7333,75.13,94,0.58408874,22,Myanmar,1635185047,0
gambiran,-6.7988,111.4951,77.49,82,1.01904844,26,Indonesia,1635185048,1
zapolyarnyy,69.4154,30.8136,22.28,93,0.91341537,100,Russian Federation,1635185048,0
saint george,37.1041,-113.5841,77.47,28,0.8326371400000001,12,United States of America,1635184770,0
hun,29.1268,15.9477,78.19,33,1.9076089699999998,5,Libya,1635185049,0
gbarnga,6.9956,-9.4722,73.51,98,0.7145766499999999,99,Liberia,1635185049,0
yumen,40.2833,97.2,39.72,45,0.42874598999999997,77,China,1635184853,0
ilulissat,69.2167,-51.1,0.75,79,1.1184678000000001,0,Greenland,1635185049,0
ahuimanu,21.4447,-157.8378,80.31,67,4.156971990000001,20,United States of America,1635185050,0
bellevue,47.6104,-122.2007,59.34,62,1.9448912299999999,100,United States of America,1635184801,0
zagan,51.6176,15.3149,50.54,70,2.06295172,100,Poland,1635185050,0
valera,9.3178,-70.6036,80.58,82,0.54680648,43,"Venezuela, Bolivarian Republic of",1635185050,0
teeli,51.0333,90.2333,34.18,68,0.35418147,76,Russian Federation,1635185051,0
lashio,22.9333,97.75,64.18,99,0.36039518,69,Myanmar,1635185051,0
privas,44.5833,4.5,55.54,73,1.1184678000000001,19,France,1635185051,0
kapit,2.0167,112.9333,73.69,99,0.19262501,98,Malaysia,1635185051,0
lompoc,34.6391,-120.4579,59.77,90,2.2369356000000002,90,United States of America,1635184895,0
hobyo,5.3505,48.5268,80.98,73,2.8893751500000002,70,Somalia,1635184848,0
bow island,49.8668,-111.3684,54.0,36,4.1010485999999995,100,Canada,1635184821,0
murray bridge,-35.1167,139.2667,58.75,57,1.85168558,1,Australia,1635184821,1
ulladulla,-35.35,150.4667,52.88,78,1.16196377,7,Australia,1635185052,1
loreto,22.2667,-101.9667,69.1,36,3.6598751899999997,100,Mexico,1635184979,0
whyalla,-33.0333,137.5833,49.89,66,0.95691134,1,Australia,1635185052,1
mackay,-21.15,149.2,76.68,77,1.55964121,97,Australia,1635184805,1
nizhneangarsk,55.7833,109.55,33.35,80,1.77712106,97,Russian Federation,1635185053,0
yanam,16.7333,82.2167,75.67,85,0.94448392,17,India,1635185053,0
barreirinhas,-2.7469,-42.8264,90.48,48,3.92085101,4,Brazil,1635184831,1
banda aceh,5.5577,95.3222,78.73,83,1.39808475,96,Indonesia,1635185053,0
skibbereen,51.55,-9.2667,51.6,83,2.86452031,100,Ireland,1635185054,0
skagen,57.7209,10.5839,52.27,86,5.15116559,93,Denmark,1635185054,0
moussoro,13.6408,16.4901,94.62,14,3.45482276,14,Chad,1635185054,0
ostrovnoy,68.0531,39.5131,20.41,90,2.0815928500000003,16,Russian Federation,1635184820,0
komoro,36.3167,138.4333,46.74,93,0.70214923,100,Japan,1635185055,0
tilichiki,60.4667,166.1,21.6,97,1.59070976,100,Russian Federation,1635185055,0
brunswick,41.2381,-81.8418,63.73,87,0.55302019,75,United States of America,1635185055,0
pokhara,28.2333,83.9833,59.38,75,2.0443105900000003,0,Nepal,1635184982,0
faya,18.3851,42.4509,63.12,72,1.03147586,22,Saudi Arabia,1635185056,0
sinnamary,5.3833,-52.95,79.14,89,3.01986306,67,French Guiana,1635185056,0
parakou,9.3372,2.6303,81.46,56,0.50952422,29,Benin,1635185056,0
harrisonburg,38.4496,-78.8689,77.68,51,0.27961695000000003,1,United States of America,1635184877,0
ormond beach,29.2858,-81.0559,86.02,71,3.19384694,75,United States of America,1635185057,0
yamethin,20.4333,96.15,72.72,91,0.77050004,15,Myanmar,1635185057,0
tairua,-37.0167,175.85,60.1,98,1.09361296,68,New Zealand,1635185057,1
rawlins,41.7911,-107.2387,63.03,37,6.7108068,1,United States of America,1635185057,0
bafia,4.75,11.2333,72.9,94,0.94448392,70,Cameroon,1635185058,0
hanna,51.6334,-111.9018,49.86,64,3.8897824599999997,100,Canada,1635185058,0
saint-georges,12.0564,-61.7485,82.83,73,5.33136318,99,Grenada,1635185058,0
saint anthony,45.0205,-93.218,52.66,52,0.55302019,1,United States of America,1635185059,0
sampit,-2.5333,112.95,74.41,92,0.30447179,94,Indonesia,1635185059,1
lima,-12.0432,-77.0282,63.14,72,2.2369356000000002,90,Peru,1635184721,1
barcelos,41.5388,-8.6151,64.85,83,1.8454718700000001,39,Portugal,1635185059,0
quthing,-30.4,27.7003,57.54,73,0.50331051,96,Lesotho,1635185059,1
saint-pierre,-21.3393,55.4781,74.88,76,3.19384694,75,Réunion,1635185060,1
neuquen,-38.9516,-68.0591,80.49,24,3.19384694,0,Argentina,1635185060,1
tulle,45.3333,1.8333,55.15,94,0.31689921,97,France,1635185060,0
agadir,30.4202,-9.5982,66.65,70,1.92003639,0,Morocco,1635184858,0
vardo,70.3705,31.1107,33.78,80,3.51695986,75,Norway,1635185061,0
palana,59.1167,159.9667,29.14,97,6.71702051,100,Russian Federation,1635185061,0
venice,27.0998,-82.4543,87.28,80,3.8897824599999997,100,United States of America,1635184951,0
nanortalik,60.1432,-45.2371,32.85,67,1.60313718,21,Greenland,1635185061,0
carman,49.4992,-98.0016,46.71,57,4.89640348,8,Canada,1635185062,0
egvekinot,66.3167,-179.1667,0.18,88,2.13130253,44,Russian Federation,1635185062,0
urucara,-2.5364,-57.76,98.76,34,1.36080249,99,Brazil,1635185062,1
kidal,18.4411,1.4078,94.33,14,1.64041944,76,Mali,1635185063,0
mandan,46.8267,-100.8896,46.58,81,7.35081893,90,United States of America,1635185063,0
bodden town,19.2833,-81.25,89.6,66,2.2369356000000002,20,Cayman Islands,1635184999,0
novaya lyalya,59.055,60.599,29.84,73,2.22450818,100,Russian Federation,1635185063,0
portland,45.5234,-122.6762,60.21,64,1.6652742800000002,100,United States of America,1635184593,0
alekseyevka,50.6309,38.6903,34.12,53,1.05011699,22,Russian Federation,1635185064,0
prabumulih,-3.45,104.25,74.16,97,0.5778750300000001,68,Indonesia,1635185064,1
lamu,-2.2717,40.902,79.02,84,2.1250888199999998,88,Kenya,1635185064,1
simpang empat,4.95,100.6333,81.97,94,0.5219516399999999,99,Malaysia,1635185065,0
umm lajj,25.0213,37.2685,79.88,60,1.8019759,0,Saudi Arabia,1635185065,0
roma,43.2128,-75.4557,71.38,88,3.19384694,90,United States of America,1635185027,0
peniche,39.3558,-9.3811,67.48,85,3.6660889,17,Portugal,1635185065,0
uusikaupunki,60.8004,21.4084,46.92,84,3.70337116,100,Finland,1635185066,0
bukama,-9.2,25.85,74.14,77,0.49088309,97,"Congo, Democratic Republic of the",1635185066,1
paamiut,61.994,-49.6678,37.11,54,4.05133892,26,Greenland,1635185066,0
baena,37.6167,-4.3225,69.62,36,0.44117341,83,Spain,1635185067,0
asau,46.4333,26.4,40.75,68,0.47224196,0,Romania,1635185067,0
sur,22.5667,59.5289,81.66,64,1.47264927,0,Oman,1635185067,0
aranos,-24.1333,19.1167,79.32,12,3.0757864500000003,0,Namibia,1635185068,1
mayo,38.8876,-76.5119,80.38,65,2.22450818,89,United States of America,1635185068,0
chimoio,-19.1164,33.4833,70.97,68,1.92003639,25,Mozambique,1635185068,1
omboue,-1.5746,9.2618,77.43,87,2.6718953,100,Gabon,1635185069,1
